Time,Event,Value
421.353,AccPause,694
421.358,AccDirty,67
421.358,AccPause,698
421.363,AccDirty,67
421.363,AccPause,702
421.368,AccDirty,67
421.368,AccPause,706
421.373,AccDirty,67
421.373,AccPause,710
421.378,AccDirty,67
421.378,AccPause,714
421.383,AccDirty,67
421.383,AccPause,718
421.388,AccDirty,67
421.388,AccPause,722
421.393,AccDirty,67
421.393,AccPause,726
421.398,AccDirty,67
421.398,AccPause,730
421.403,AccDirty,67
421.403,AccPause,734
421.408,AccDirty,67
421.408,AccPause,738
421.413,AccDirty,67
421.413,AccPause,742
421.418,AccDirty,67
421.418,AccPause,746
421.423,AccDirty,67
421.423,AccPause,750
421.428,AccDirty,67
421.428,AccPause,754
421.433,AccDirty,67
421.433,AccPause,758
421.438,AccDirty,67
421.438,AccPause,762
421.443,AccDirty,67
421.443,AccPause,766
421.448,AccDirty,67
421.448,AccPause,770
421.453,AccDirty,67
421.453,AccPause,774
421.458,AccDirty,67
421.458,AccPause,778
421.463,AccDirty,67
421.463,AccPause,782
421.468,AccDirty,67
421.468,AccPause,786
421.473,AccDirty,67
421.473,AccPause,790
421.478,AccDirty,67
421.478,AccPause,794
421.483,AccDirty,67
421.483,AccPause,798
421.488,AccDirty,67
421.488,AccPause,802
421.493,AccDirty,67
421.493,AccPause,806
421.498,AccDirty,67
421.498,AccPause,810
421.503,AccDirty,67
421.503,AccPause,814
421.509,AccDirty,67
421.509,AccPause,818
421.514,AccDirty,67
421.514,AccPause,822
421.519,AccDirty,67
421.519,AccPause,826
421.524,AccDirty,67
421.524,AccPause,830
421.529,AccDirty,67
421.529,AccPause,834
421.534,AccDirty,67
421.534,AccPause,838
421.539,AccDirty,67
421.539,AccPause,842
421.544,AccDirty,67
421.544,AccPause,846
421.549,AccDirty,67
421.549,AccPause,850
421.554,AccDirty,67
421.554,AccPause,854
421.559,AccDirty,67
421.559,AccPause,858
421.564,AccDirty,67
421.564,AccPause,862
421.569,AccDirty,67
421.569,AccPause,866
421.574,AccDirty,67
421.574,AccPause,870
421.579,AccDirty,67
421.579,AccPause,874
421.584,AccDirty,67
421.584,AccPause,878
421.589,AccDirty,67
421.589,AccPause,882
421.594,AccDirty,67
421.594,AccPause,886
421.599,AccDirty,67
421.599,AccPause,890
421.604,AccDirty,67
421.604,AccPause,894
421.609,AccDirty,67
421.609,AccPause,898
421.614,AccDirty,67
421.614,AccPause,902
421.619,AccDirty,67
421.619,AccPause,906
421.624,AccDirty,67
421.624,AccPause,910
421.629,AccDirty,67
421.629,AccPause,914
